品牌/系列,序号,机型与规格,网络制式型号,开机靓好,开机好碎,开机碎屏,开机坏配件,不开机,废板·整机,统货,备注
华为Mate系列,4,Mate40 4G,OCE-AN00,150,150,100,100,100,100,/,电池好开机正常开机主板靓镜头靓
华为Mate系列,5,Mate30RS保时捷,LIO-AN00P,300,300,100,100,100,100,/,/
华为Mate系列,6,Mate30 Pro 5G,LIO-AL00,100,100,100,100,100,100,/,/
华为Mate系列,1,Mate30 5G,TAS-AN00,300,100,100,100,100,100,/,/
华为Mate系列,2,Mate30 4G,TAS-AL00,150,150,90,90,90,90,/,/
华为Mate系列,3,Mate20保时捷,LYA-AL00,140,140,140,140,140,140,/,/
华为Mate系列,4,Mate20 Pro(8+256),LYA-AL00,100,100,100,100,100,100,/,/
华为Mate系列,5,Mate20 Pro(6+128),LYA-AL00,90,90,90,90,90,90,/,/
华为Mate系列,6,Mate20 pro (8+128),LYA-AL00,75,75,75,75,75,75,/,/
华为Mate系列,1,Mate20 (8+128),HMA-AL00,70,70,70,70,70,70,/,/
华为Mate系列,2,Mate20 (6+64),HMA-AL00,60,60,60,60,60,60,/,/
华为Mate系列,3,Mate20 X(5G),EVR-AN00,160,100,100,100,100,100,/,/
华为Mate系列,4,Mate10 Pro,BLA-AL00,120,120,80,80,/,/,/,/
华为Mate系列,5,Mate10pro,BLA-AL00,70,70,70,70,/,/,/,/
华为Mate系列,6,Mate10,ALP-AL00,60,60,60,60,/,/,/,开机测试主板亮屏幕有显示算开机
华为Mate系列,1,Mate9pro,LON-AL00,60,60,60,60,/,/,/,开机测试主板亮屏幕有显示算开机
华为Mate系列,2,Mate9,MHA-AL00,60,60,60,60,/,/,/,/
华为Mate系列,3,Mate8 (4+64),NXT-AL00,62,62,62,62,62,62,/,开机芯片无损坏 烧坏打字不计
华为Mate系列,4,Mate8 (3+32),NXT-AL00,38,38,38,38,38,38,/,/
华为Mate系列,5,MateS,CRR-UL00,30,30,30,30,30,30,/,/
华为Mate系列,6,Mate7,MT7-TL00,20,20,20,20,20,20,/,/
华为穿戴系列,7,华为手环B6,550-B19/B29,150,100,100,100,100,100,/,/
华为P系列,1,p80,/,1,1,1,1,1,1,/,/
华为P系列,2,P70 Ultra,HBN-AL00,1400,1300,900,600,130,130,/,/
华为P系列,3,p80ultra,/,1,1,1,1,1,1,/,/
华为P系列,4,P70pro+,HBN-AL10,1300,1200,800,500,140,140,/,拆好背光异屏统货400
华为P系列,5,p70pro,HBN-AL00,750,650,500,400,140,140,/,拆好背光异屏统货300
华为P系列,6,p70,ADY-AL00,700,600,400,300,140,140,/,开机正常靓主板芯片无损坏
华为P系列,1,p60Art,MNA-AL00,450,400,300,300,180,180,/,开机正常靓主板芯片无损坏
华为P系列,2,p60Pro,MNA-AL00,400,350,200,180,180,180,/,开机芯片无破损 烧坏打字不计
华为P系列,3,p60,L2A-AL00,260,180,180,180,180,180,/,主板开机无拆修加200元
华为P系列,4,p50E,LNA-AL00/AL20,140,140,130,130,130,130,/,主板开机无拆修加200元
华为P系列,5,p50pro (8+128),JAD-AL00,140,140,140,140,140,140,/,/
华为P系列,1,p50,ABR-AL00/AL60,170,170,170,170,170,170,/,统称：标配65AL60
华为P系列,2,P50 E 4G,ABR-AL00,170,170,165,170,165,165,/,开机芯片无破损
华为P系列,3,p50,ABR-AL60/AL80,220,165,165,165,165,165,/,/
华为P系列,4,P40 pro+ (8+256),ELS-AN10,350,350,100,100,100,100,/,/
华为P系列,5,P40 pro (8+256),ELS-AN00,350,350,100,100,100,100,/,/
华为P系列,6,P40 (8+128),ANA-AN00/AL00,210,210,120,120,120,120,/,主板芯片比例正常
华为P系列,1,P40 (6+128),ANA-AL00,140,140,90,90,90,90,/,主板芯片比例正常
华为P系列,2,P30(8+256),ELE-AL00,130,130,130,130,130,130,/,主板小板短板CB
华为P系列,3,P30(8+128),ELE-AL00,110,110,100,100,100,100,/,开机测试主板亮屏幕有显示算开机
华为P系列,4,P30(6+128),ELE-AL00,90,90,75,75,75,75,/,开机测试主板亮屏幕有显示算开机
华为P系列,5,P30Pro,VOG-AL00/TL00/AL10,125,125,125,125,125,125,/,开机测试主板亮屏幕有显示算开机
华为P系列,1,P20Pro,CLT-AL00/TL00,72,72,72,72,72,72,/,/
华为P系列,2,P10plus,VKY-AL00,72,72,72,72,72,72,/,开机测试主板亮屏幕有显示算开机
华为P系列,3,P10,VTR-AL00,60,60,60,60,60,60,/,开机测试主板亮屏幕有显示算开机
华为P系列,4,P9,EVA-AL00/AL10,40,40,40,40,40,40,/,开机测试主板亮屏幕有显示算开机
华为P系列,5,P8,GRA-UL00/AL00,55,55,55,55,55,55,/,开机测试主板亮屏幕有显示算开机
华为P系列,6,P9plus,VIE-AL10,58,58,58,58,58,58,/,/
Hi系列/畅享,1,Hi 畅享60pro,SNP-AN00,1,1,1,1,1,1,/,/
Hi系列/畅享,2,Hi 畅享60,SHR-AN00,150,150,150,150,140,140,/,/
Hi系列/畅享,3,Hi 畅享60s,JLG-AN00,145,145,145,145,140,140,/,/
Hi系列/畅享,4,Hi 畅享70pro,JLN-AN00,190,190,160,160,160,160,/,/
Hi系列/畅享,5,Hi 畅享70,MKY-AN00,220,220,220,220,220,220,/,/
Hi系列/畅享,6,Hi Nova 12 SE,GAR-AL00,140,140,140,140,140,140,/,/
Hi系列/畅享,1,Hi Nova 11,MAO-AN00,165,165,165,165,165,165,/,/
Hi系列/畅享,2,Hi Nova 10 se,GAR-AL00,110,110,110,110,110,110,/,/
Hi系列/畅享,3,Hi Nova 12 SE,SUP-AN00,220,220,220,220,220,220,/,/
Hi系列/畅享,4,Hi Nova 11 5G,MSZ-BD00,220,220,220,220,220,220,/,/
Hi系列/畅享,5,Hi nova 10PRO,BON-AL00,170,170,170,170,170,170,/,/
Hi系列/畅享,6,Hi nova 10se,BNE-AL00,170,170,170,170,170,170,/,/
Hi系列/畅享,1,Hi Nova9 (8+128),NAM-AL00,170,170,170,170,170,170,/,/
Hi系列/畅享,2,Hi Nova9 (8+256),RTE-AL00,170,170,170,170,170,170,/,/
Hi系列/畅享,3,Hi Nova9 Pro (8+256),Here-BD00,220,220,220,220,220,220,/,/
Hi系列/畅享,4,Hi Nova9 SE,Here-BD00,170,170,170,170,170,170,/,/
Hi系列/畅享,5,Hi Nova9 Z,FND-BD00/TL00,170,170,170,170,170,170,/,/
华为Nova系列,1,Nova 16,/,1,1,1,1,90,90,/,/
华为Nova系列,2,Nova 16 Ultra,/,1,1,1,1,90,90,/,/
华为Nova系列,3,Nova 16 Pro,/,1,1,1,1,90,90,/,/
华为Nova系列,4,nova 16,/,1,1,1,1,90,90,/,/
华为Nova系列,5,nova 16Z,/,1,1,1,1,90,90,/,/
华为Nova系列,6,nova 16SE,/,1,1,1,1,1,1,/,/
华为Nova系列,7,nova 15,/,1,1,1,1,1,1,/,/
华为Nova系列,1,nova 14ultra,ADA-AL00,500,450,350,90,90,90,/,主板开机有背光
华为Nova系列,2,nova 14pro,NES-AL00,400,350,230,90,90,90,/,/
华为Nova系列,3,nova 14,BRQ-AL00,280,230,180,90,90,90,/,/
华为Nova系列,4,nova13,MES-AL00,200,200,90,90,90,90,/,异折算统货90
华为Nova系列,5,nova13 pro,TLS-AL00,350,300,90,90,90,90,/,/
华为Nova系列,6,nova13ultra,TLS-AL00,400,350,90,90,90,90,/,开机芯片无破损 烧坏打字不计
华为Nova系列,7,nova13 lite,/,1,1,1,1,90,90,/,/
华为Nova系列,1,nova12ultra,ADA-AL00,350,250,160,160,160,160,/,开机芯片无破损 烧坏打字不计
华为Nova系列,2,nova12pro(12+256),ADA-AL00,450,400,160,160,160,160,/,主板开机排线好C
华为Nova系列,3,nova12(12+256),FIN-AL60,400,400,220,220,220,220,/,开机芯片无破损
华为Nova系列,4,nova12活力版,FIN-AL60,220,220,220,220,220,220,/,开机芯片无破损 烧坏打字不计
华为Nova系列,5,nova12 se(512),BND-AL00,175,175,175,175,175,175,/,主板小板短板DOC
华为Nova系列,6,nova12 se(256),BND-AL00,175,175,175,175,175,175,/,主板小板短板DOC
华为Nova系列,1,Nova 11 Ultra,GOA-AL80,170,170,170,170,170,170,/,/
华为Nova系列,2,Nova 11 Pro 4G,GOA-AL80,170,170,170,170,170,170,/,主板小板短板DOC
华为Nova系列,3,nova11(8+256),FOA-AL00,170,170,170,170,170,170,/,主板小板短板DOC
华为Nova系列,4,Nova11活力版,FOA-AL00,220,220,220,220,220,220,/,主板小板短板DOC
华为Nova系列,5,nova11 se(256),BON-AL00,220,220,220,220,220,220,/,/
华为Nova系列,6,nova11 se(128),BON-AL00,170,170,170,170,170,170,/,主板小板短板DOC
华为Nova系列,1,Nova10pro(8+256),GLA-AL00,220,220,220,220,220,220,/,主板小板短板DOC
华为Nova系列,2,Nova10(8+256),NCO-AL00,170,170,170,170,170,170,/,/
华为Nova系列,3,Nova10(8+128),NCO-AL00,170,170,170,170,170,170,/,/
华为Nova系列,4,Nova10z,BNE-AL00,170,170,170,170,170,170,/,开机芯片无破损
华为Nova系列,5,Nova10SE,BNE-AL00,170,170,170,170,170,170,/,主板小板短板DOC
华为Nova系列,6,nova10青春版,BNE-AL00,170,170,170,170,170,170,/,/
华为Nova系列,1,nova10 pro,NCO-AL00,220,220,220,220,220,220,/,主板小板短板DOC
华为Nova系列,2,nova10,NCO-AL00,220,220,220,220,220,220,/,主板小板短板TIA
华为Nova系列,3,nova9 Pro (8+128),RTE-AL00,170,170,170,170,170,170,/,要求开机主板靓
华为Nova系列,4,Nova9se,JLN-AL00,170,170,170,170,170,170,/,/
华为Nova系列,5,Nova9(8+256),RTL-AL00,220,220,220,220,220,220,/,/
华为Nova系列,6,Nova9(8+128),NAM-AL00,170,170,170,170,170,170,/,/
华为Nova系列,1,Nova8 Pro 5G,BRQ-AN00,170,170,170,170,170,170,/,/
华为Nova系列,2,Nova8 Pro 4G,BRQ-AL00,170,170,170,170,170,170,/,/
华为Nova系列,3,Nova8 5G,ANG-AN00,170,170,170,170,170,170,/,/
华为Nova系列,4,Nova8 4G,ANG-AL00,170,170,170,170,170,170,/,/
华为Nova系列,5,Nova8 se4G,JSC-AL00,170,170,170,170,170,170,/,/
华为Nova系列,6,Nova8se活力版,CHL-AL00,170,170,170,170,170,170,/,/
华为Nova系列,1,Nova8 (8+128),ANG-AL00,170,170,170,170,170,170,/,要求芯片无破损
华为Nova系列,2,Nova7 5G,JEF-AN00,170,170,170,170,170,170,/,/
华为Nova系列,3,Nova7 Pro,JER-AN10,165,165,165,165,165,165,/,开机芯片无破损
华为Nova系列,4,Nova7se,CDY-AN00,165,165,165,165,165,165,/,/
华为Nova系列,5,Nova7se 5G,CDY-AN20,165,165,165,165,165,165,/,未解激活扣扣钱
华为Nova系列,6,Nova7se乐活,CDY-AN90,165,165,165,165,165,165,/,未解扣扣钱AN90
华为Nova系列,1,Nova6(8+128),WLZ-AL10,165,165,165,165,165,165,/,未解扣扣钱 统货要求芯片无破损
华为Nova系列,2,Nova6 5G,WLZ-AN00,127,127,127,127,90,90,/,主板开机有背光没有点显示算不开机
华为Nova系列,3,Nova6 4G,WLZ-AL10,127,127,127,127,90,90,/,/
华为Nova系列,4,Nova6 SE,JNY-AL10,120,120,110,110,110,110,/,开机主板功能正常 电池好付付20
华为Nova系列,5,Nova5pro,SEA-AL10B,155,155,155,155,155,155,/,/
华为Nova系列,6,Nova5i (6+128),GLK-AL00A,125,125,125,125,125,125,/,/
华为Nova系列,1,Nova5i Pro,GLK-AL00,155,155,155,155,155,155,/,未解激活扣扣钱
华为Nova系列,2,Nova5pro (8+128),SPN-AL00,155,155,155,155,155,155,/,主板小板短板TIA
华为Nova系列,3,Nova5z,SPN-AL00C,125,125,125,125,125,125,/,主板小板短板TIA
华为Nova系列,4,Nova5i(8+256),GLK-AL00,155,155,155,155,155,155,/,主板小板短板TIA
华为Nova系列,5,Nova5i (8+128),SMP-AL00C,125,125,125,125,125,125,/,主板小板短板C
华为Nova系列,6,Nova5 (8+128),VCE-AL00,165,165,165,165,165,165,/,/
华为Nova系列,1,Nova4 (8+128),VCE-AL00B,100,100,100,100,100,100,/,未解芯片统货无破损
华为Nova系列,2,Nova4 (6+128),VCE-TL00,80,80,80,80,80,80,/,主板小板短板TIA
华为Nova系列,3,Nova4e (6+128),MAR-AL00,160,160,160,160,160,160,/,主板小板短板TIA
华为Nova系列,4,Nova3,PAR-AL00,85,85,85,85,85,85,/,/
华为Nova系列,5,Nova3 (4+64),PAR-AL00,80,80,80,80,80,80,/,/
华为Nova系列,6,Nova3i,INE-AL00,80,80,80,80,80,80,/,/
华为Nova系列,7,Nova3e,ANE-AL00,115,115,115,115,115,115,/,/
华为Nova系列,1,Nova2s,BAC-AL00,85,85,85,85,85,85,/,/
华为Nova系列,2,Nova2s 高配,HWI-AL00,60,60,60,60,60,60,/,开机测试主板亮屏幕有显示算开机 屏幕发黄发暗扣钱
华为Nova系列,3,Nova2,PIC-AL00,75,75,75,75,75,75,/,/
华为Nova系列,4,Nova (4+64),MAS-AL00,75,75,75,75,75,75,/,/
华为Nova系列,5,Nova (4+64),CAZ-AL00,135,135,135,135,135,135,/,/
华为Nova系列,6,Nova (3+32),CAZ-AL00,55,55,55,55,55,55,/,/
华为/生态系列,1,优畅享50,VP004,170,170,170,170,170,170,/,/
华为/生态系列,2,优畅享50Pro,VP005,170,170,170,170,170,170,/,/
华为/生态系列,3,优畅享30e,VP001,170,170,170,170,170,170,/,/
华为/生态系列,4,优畅享20,VP002,170,170,170,170,170,170,/,/
华为/生态系列,5,优畅享20 Plus,VP003,170,170,170,170,170,170,/,/
华为/生态系列,6,雷鸟,VP003,170,170,170,170,170,170,/,/
华为/生态系列,1,NZONE 50Pro 5G,SP210,170,170,170,170,170,170,/,/
华为/生态系列,2,生态70pro+,SP2101,170,170,170,170,170,170,/,/
华为/生态系列,3,生态70,SP300,170,170,170,170,170,170,/,/
华为/生态系列,4,鼎桥x7,SP100,170,170,170,170,170,170,/,/
华为/生态系列,1,鼎桥 M40,AVA-PA00,130,130,130,130,130,130,/,/
华为/生态系列,2,鼎桥 M40,TDT-MA00,100,100,100,100,100,100,/,/
华为/生态系列,3,NAT-TN00,NAT-TN00,170,170,170,170,170,170,/,/
华为/生态系列,4,WIKO 5G,LFT-AN00,170,170,170,170,170,170,/,/
华为/生态系列,1,NEX US,NEX US,27,27,23,23,23,23,/,/
华为/生态系列,1,荣耀xpower2,SFR-AN00,700,650,600,500,150,150,/,/
华为/生态系列,2,荣耀power,DVD-AN00/AN10,580,500,380,300,160,150,/,特统货2200
荣耀Magic系列,1,荣耀Magic7 Pro,PTP-AN10,900,900,400,400,300,300,/,/
荣耀Magic系列,2,荣耀Magic7,PTP-AN00,800,800,400,400,300,300,/,/
荣耀Magic系列,3,荣耀Magic6 Pro,BVL-AN10,800,600,400,300,300,300,/,/
荣耀Magic系列,4,荣耀Magic6,BVL-AN00,700,500,320,240,240,240,/,/
荣耀Magic系列,5,荣耀Magic6rs,BVL-AN20,850,600,400,260,240,240,/,碎屏靓底板开机400
荣耀Magic系列,1,荣耀Magic5 Pro,PGT-AN10,320,300,220,220,320,320,/,开机测试主板亮屏幕有显示算开机 屏幕碎开机统货300要求主板靓比例正常
荣耀Magic系列,2,荣耀Magic5至臻,PGT-AN20,300,220,220,220,220,220,/,/
荣耀Magic系列,3,荣耀Magic5,PGT-AN00,200,200,200,200,200,200,/,/
荣耀Magic系列,4,荣耀Magic4 Pro,LGE-AN10,300,300,300,300,300,300,/,/
荣耀Magic系列,5,荣耀Magic4,LGE-AN00,200,200,200,200,200,200,/,/
荣耀Magic系列,6,荣耀Magic4至臻,LGE-AN20,300,200,200,200,200,200,/,/
荣耀Magic系列,1,荣耀Magic3 Pro,ELZ-AN10,200,200,200,200,200,200,/,/
荣耀Magic系列,2,荣耀Magic3,ELZ-AN00,450,200,240,240,240,240,/,/
荣耀Magic系列,3,荣耀Magic3至臻,ELZ-AN20,300,200,200,200,200,200,/,/
荣耀Magic系列,4,荣耀Magic2,BLT-AN00,90,90,90,90,90,90,/,开机芯片无破损 屏幕好坏不影响
荣耀Magic系列,5,荣耀Magic,NTS-AL00,33,33,33,33,33,33,/,/
荣耀数字系列,1,荣耀200 Pro,AMP-AN10,450,450,350,350,150,150,/,/
荣耀数字系列,2,荣耀200,AMP-AN00,400,400,300,150,150,150,/,/
荣耀数字系列,3,荣耀100 Pro,MAA-AN10,400,350,280,150,150,150,/,/
荣耀数字系列,4,荣耀100,MAA-AN00,300,300,260,150,150,150,/,/
荣耀数字系列,5,荣耀90 Pro,REP-AN00,350,300,280,150,150,150,/,/
荣耀数字系列,6,荣耀90,REA-AN00,300,280,260,150,150,150,/,/
荣耀数字系列,1,荣耀80 Pro,ANP-AN00,280,280,280,280,150,150,/,/
荣耀数字系列,2,荣耀80,ANN-AN00,220,220,220,220,160,160,/,/
荣耀数字系列,3,荣耀80 GT,AGT-AN00,300,280,240,150,150,150,/,/
荣耀数字系列,4,荣耀70 Pro+,HPB-AN00,240,240,240,240,240,240,/,/
荣耀数字系列,5,荣耀70 Pro,SDY-AN00,240,240,240,240,240,240,/,/
荣耀数字系列,6,荣耀70,FNE-AN00,240,240,240,240,240,240,/,主板小板短板统
荣耀数字系列,1,荣耀60 Pro,TNA-AN00,220,220,220,220,220,220,/,/
荣耀数字系列,2,荣耀60,LSA-AN00,180,180,180,180,180,180,/,开机测试主板亮屏幕有显示算开机
荣耀数字系列,3,荣耀50SE (8+128),RNA-AN00,160,160,160,160,160,160,/,/
荣耀数字系列,4,荣耀50SE (8+256),RNA-AN00,160,160,160,160,160,160,/,主板小板短板统
荣耀数字系列,5,荣耀50 (8+256),NTH-AN00,220,220,220,220,220,220,/,主板小板短板统
荣耀数字系列,6,荣耀50 (8+128),NTH-AN00,220,220,220,220,220,220,/,主板小板短板统
荣耀数字系列,1,荣耀30 Pro+,EBG-AN10,170,170,170,170,170,170,/,主板小板短板A
荣耀数字系列,2,荣耀30 Pro,EBG-AN00,90,90,90,90,90,90,/,/
荣耀数字系列,3,荣耀30 (8+256),BMH-AN10,165,165,165,165,165,165,/,主板小板短板A
荣耀数字系列,4,荣耀30 (8+128),BMH-AN10,130,130,130,130,130,130,/,主板小板短板C
荣耀数字系列,5,荣耀30 青春版 (8+128),MXW-AN00,170,170,170,170,170,170,/,/
荣耀数字系列,6,荣耀30S,CDY-AN90,165,165,165,165,165,165,/,/
荣耀数字系列,1,荣耀20 Pro (8+128),YAL-AL10,110,110,110,110,110,110,/,拆不好背光异屏统货不扣钱
荣耀数字系列,2,荣耀20 (8+128),YAL-AL00,100,100,100,100,100,100,/,开机测试主板亮屏幕有显示算开机
荣耀数字系列,3,荣耀20i (8+128),HRY-AL00Ta,145,145,145,145,145,145,/,定屏幕点算不开机
荣耀数字系列,4,荣耀20S,YAL-AL50,125,125,125,125,125,125,/,/
荣耀数字系列,5,荣耀20青春版,LRA-AL00,125,125,125,125,125,125,/,主板小板短板D
荣耀数字系列,6,荣耀10,COL-AL10,70,70,70,70,70,70,/,/
荣耀数字系列,7,荣耀9,STF-AL10,60,60,60,60,60,60,/,/
荣耀数字系列,8,荣耀8,FRD-AL00,50,50,50,50,50,50,/,开机测试主板亮屏幕有显示算开机
荣耀数字系列,9,荣耀7,PLK-AL10,43,43,43,43,43,43,/,/
荣耀数字系列,10,荣耀6,H60-L01,55,55,55,55,55,55,/,/
荣耀X系列,1,荣耀X60 Pro,BRP-AN00,440,380,340,/,165,165,开机主板靓镜头靓 屏花倒充
荣耀X系列,2,荣耀X60,ALI-AN00,340,340,300,/,165,165,/
荣耀X系列,3,荣耀X50 Pro,ALI-AN00,390,390,340,/,150,150,/
荣耀X系列,4,荣耀X50 GT,ALI-AN00,440,440,380,/,150,150,/
荣耀X系列,5,荣耀X50 (8+128),ALI-AN00,290,290,250,/,160,160,/
荣耀X系列,6,荣耀X50 (8+256),ALI-AN00,340,340,300,/,160,160,/
荣耀X系列,1,荣耀X40 GT,APT-AN00,205,205,205,/,160,160,/
荣耀X系列,2,荣耀X40,RMO-AN00,230,230,230,/,230,230,/
荣耀X系列,3,荣耀X30 Max,KKG-AN70,170,170,170,/,170,170,/
荣耀X系列,4,荣耀X30 (8+256),ANY-AN00,220,220,220,/,220,220,/
荣耀X系列,5,荣耀X30 (8+128),ANY-AN00,170,170,170,/,170,170,/
荣耀X系列,6,荣耀X20,CHL-AN00,170,170,170,/,170,170,/
荣耀X系列,7,荣耀X10 (8+128),TEL-AN00,170,170,170,/,170,170,/
荣耀X系列,8,荣耀9X (6+128),HLK-AL00,135,135,135,135,135,135,主板小板短板统
荣耀X系列,9,荣耀8X,JSN-AL00,100,100,100,100,100,100,主板小板短板C
荣耀X系列,10,荣耀7X,BND-AL10,65,65,65,65,65,65,/
荣耀Play系列,1,荣耀Play9T,LLY-AN00,230,230,230,/,150,150,/
荣耀Play系列,2,荣耀Play8T,CLK-AN00,160,160,160,/,160,160,/
荣耀Play系列,3,荣耀Play7T,DID-AN00,160,160,160,/,160,160,/
荣耀Play系列,4,荣耀Play6T,TNY-AN00,140,140,140,/,140,140,/
荣耀Play系列,5,荣耀Play5,CMA-AL00,165,165,165,/,165,165,/
荣耀Play系列,6,荣耀Play4 Pro,OXF-AN10,135,135,135,135,135,135,开机芯片统货无破损
荣耀Play系列,7,荣耀Play3,ASK-AL00,80,80,80,80,80,45,/
荣耀畅玩系列,1,畅玩50 Plus,CLK-AN00,165,165,165,/,165,165,/
荣耀畅玩系列,2,畅玩40,WKG-AN00,135,135,135,/,135,135,/
荣耀畅玩系列,3,畅玩30,VNE-AN00,135,135,135,/,135,135,/
荣耀畅玩系列,4,畅玩20,KOZ-AL00,135,135,135,/,135,135,/
荣耀畅玩系列,5,畅玩9A,MOA-AL00,95,95,95,95,95,95,/
荣耀畅玩系列,6,畅玩8A,JAT-AL00,95,95,95,95,95,95,/
荣耀畅玩系列,7,畅玩7A,AUM-AL00,80,80,80,80,80,80,/
荣耀畅玩系列,8,畅玩6A,DLI-AL10,60,60,60,60,60,60,/
荣耀畅玩系列,9,畅玩5A,CAM-AL00,45,45,45,45,45,45,/
品牌/系列,序号,机型与规格,网络制式型号,开机靓好,开机好碎,开机碎屏,开机坏配件,不开机,废板·整机,统货,备注
荣耀V系列,1,荣耀Vpurse,VCA-AN00,450,450,450,450,/,150,150,/
荣耀V系列,2,荣耀V40,YOK-AN10,160,160,160,160,/,160,160,/
荣耀V系列,3,荣耀V40轻奢版,ALA-AN70,120,120,120,120,/,120,120,/
荣耀V系列,4,荣耀V30 Pro,OXF-AN10,130,130,130,130,/,99,90,/
荣耀V系列,5,荣耀V30,OXF-AN00,130,130,130,130,/,99,90,/
荣耀V系列,6,荣耀V20,PCT-AL10,100,100,100,100,/,100,100,/
荣耀V系列,1,荣耀V10,BKL-AL00/AL20,80,80,80,80,/,80,80,/
荣耀V系列,2,荣耀V9,DUK-AL20,67,67,67,67,/,67,67,/
荣耀V系列,3,荣耀V8,KNT-AL10/AL20,60,60,60,60,/,60,60,/
荣耀数字系列,4,荣耀9青春版,LLD-AL00/AL10,55,55,55,55,/,55,55,/
荣耀Play系列,1,荣耀Play 10T,LLY-AN00,230,230,230,230,/,150,150,/
荣耀Play系列,2,荣耀Play 10A,DID-AN00,180,180,180,180,/,140,140,/
荣耀Play系列,3,荣耀play9T,LLY-AN00,180,180,180,180,/,140,140,/
荣耀Play系列,4,荣耀play8T,CLK-AN00,180,180,180,180,/,140,140,/
荣耀Play系列,5,荣耀play7T,DID-AN00,190,190,190,190,/,140,140,/
荣耀Play系列,6,荣耀play6T pro,TNY-AN00,135,135,135,135,/,135,135,/
荣耀Play系列,1,荣耀play6T,TF-AN00,180,180,180,180,/,165,165,/
