系列,序号,型号,开机屏好,开机屏好小老化,开机屏好大老化,开机屏坏,不开机屏好,不开机,废板-整机,备注
Flip系列,1,Z Flip2 (水货),280,,,280,190,190,190,190,
Flip系列,2,Z Flip2,280,,,280,190,190,190,190,
Flip系列,3,Z Flip (水货),280,,,280,190,190,190,190,
Flip系列,4,Z Flip,280,,,280,190,190,190,190,
G系列(S旗舰),1,S25 Ultra 国行,3300,2800,2800,1600,200,200,300,
G系列(S旗舰),2,S25 Ultra 水货,2900,2500,2500,1300,200,200,200,
G系列(S旗舰),3,s24 ultra,2600,1600,2000,1500,900,180,180,
G系列(S旗舰),4,s23 ultra 水货,1400,800,1000,700,800,180,180,
G系列(S旗舰),5,s23 ultra,1800,1000,1400,900,400,180,180,
G系列(S旗舰),6,s23 (8+256),1200,700,1000,600,300,180,180,
G系列(S旗舰),1,s23 (8+128),1000,700,900,600,300,180,180,
G系列(S旗舰),2,s22+国行,800,350,700,350,180,180,180,
G系列(S旗舰),3,s22+水货,800,350,700,350,180,180,180,
G系列(S旗舰),4,s22国行,700,400,600,380,180,180,180,开机屏好镜头花扣300
G系列(S旗舰),5,s22水货,600,250,600,300,180,180,180,开机屏好镜头花扣300
G系列(S旗舰),6,S22k水货,1200,500,1100,450,180,180,180,
G系列(S旗舰),1,s22 ultra,1300,800,1100,700,180,180,180,镜头花扣300
G系列(S旗舰),2,s21 FE,650,260,580,90,60,60,60,
G系列(S旗舰),3,S21+/G996N水货,500,220,500,220,130,80,80,
G系列(S旗舰),4,S21/G99160,800,250,600,260,130,80,80,开机屏好镜头花扣300
G系列(S旗舰),5,s21/G9910,500,280,450,280,130,80,80,
G系列(S旗舰),6,S21/G991N水货,450,280,350,280,130,80,80,
G系列(S旗舰),1,s21+ultra水货,900,250,700,350,150,150,80,开机屏好镜头花扣300
G系列(S旗舰),2,s21+ultra,1000,600,800,500,150,150,80,开机屏好镜头花扣300
G系列(S旗舰),3,S20Ultra/G9880,850,400,700,400,130,70,65,
G系列(S旗舰),4,S20+/G9860,600,240,450,130,130,70,65,
G系列(S旗舰),5,S20/G9810,500,280,400,230,130,65,65,
G系列(S旗舰),6,G988N/S20Ultra水货,900,280,600,280,120,65,65,开机屏好镜头花扣300
G系列(S旗舰),1,S20+/G986N,500,240,380,240,130,65,65,
G系列(S旗舰),2,S20水货,500,230,300,230,130,65,65,
G系列(S旗舰),3,S10+/G9750,600,150,300,150,200,55,55,
G系列(S旗舰),4,G9730/S10,470,150,300,150,150,55,55,
G系列(S旗舰),5,973u/S10水货,470,150,300,150,150,55,55,
G系列(S旗舰),6,G9700/S10e,240,140,240,140,120,50,50,
G系列(S旗舰),1,S10e水货,280,120,280,120,80,55,55,
G系列(S旗舰),2,s10+水货,500,300,400,120,80,55,55,
G系列(S旗舰),3,G9650/S9+,350,200,280,110,70,50,50,
G系列(S旗舰),4,G9600/S9,260,160,220,90,80,50,50,
G系列(S旗舰),5,G965U/S9+美版,350,110,220,90,80,50,50,
G系列(S旗舰),6,G960U/S9+美版,350,110,200,110,65,50,50,
G系列(S旗舰),1,G955fd/S8+,260,150,220,80,80,80,60,
G系列(S旗舰),2,G955f/S8+,260,150,220,80,80,80,60,
G系列(S旗舰),3,G9550/S8+美版,260,150,220,80,80,80,60,
G系列(S旗舰),4,G9550/S8+港版,260,150,220,80,80,80,60,
G系列(S旗舰),5,G9550/S8,260,150,220,80,80,80,60,
G系列(S旗舰),6,G9508/S8,260,150,220,80,80,80,60,
G系列(S旗舰),1,G9500/S8,260,150,220,80,80,80,60,
G系列(S旗舰),2,G9506港版/G950fd/S8,260,150,220,80,80,80,60,
G系列(S旗舰),3,G950f港版/S8,260,150,220,80,80,80,60,
G系列(S旗舰),4,G9500港版/S8,260,150,220,80,80,80,60,
G系列(S旗舰),5,G9500/S8美版,260,150,220,80,80,80,60,
G系列(S旗舰),6,G935fd/S7edge,110,30,110,30,30,25,30,
G系列(S旗舰),1,G9308/S7,70,45,70,20,70,20,20,
G系列(S旗舰),2,G9300美版v/p/n/S7,70,45,70,20,70,20,20,
G系列(S旗舰),3,G9300fd/S7,70,45,70,20,70,20,20,
G系列(S旗舰),4,G9300t/S7,70,45,70,20,70,20,20,
G系列(S旗舰),5,G9300/S7,70,45,70,20,70,20,20,
G系列(S旗舰),6,G935韩版k/s/n/G937edge,110,30,110,30,30,25,30,
G系列(S旗舰),1,G9350/S7edge,110,30,110,30,30,30,30,
G系列(S旗舰),2,G935美版v/p/u/S7 edge,110,30,110,30,30,30,30,
G系列(S旗舰),3,G935f/S7edge,110,30,110,30,30,30,30,
G系列(S旗舰),4,s7,20,30,20,20,30,20,20,
G系列(S旗舰),5,G9287双卡/S6 edge+,40,20,35,20,20,20,20,
G系列(S旗舰),6,G9280/S6edge+,40,20,35,20,20,20,20,
G系列(S旗舰),1,G928美版v/p/S6edge+,40,20,35,20,20,20,20,
G系列(S旗舰),2,G925美版v/p/U/S6 edge,40,20,35,20,20,20,20,
G系列(S旗舰),3,G9250/港版/S6 edg,40,20,35,20,20,20,20,
G系列(S旗舰),4,G9250/S6edge,40,20,35,20,20,20,20,
G系列(S旗舰),5,G3818/G3812/G3819,7,7,7,7,7,7,7,
G系列(S旗舰),6,G9251/S6edge,45,20,45,20,20,20,20,
G系列(S旗舰),1,G9209/S6,35,35,35,20,20,20,20,
G系列(S旗舰),2,G9208/S6,35,35,35,20,20,20,20,
G系列(S旗舰),3,G9200美版/S6,35,35,35,20,20,20,20,
G系列(S旗舰),4,G9200/S6,35,35,35,20,20,20,20,
G系列(S旗舰),5,G9008W/09w/09d/S5,20,20,20,20,20,20,20,
G系列(S旗舰),6,G9006V/06w/08v/S5,20,20,20,20,20,20,20,
G系列(S旗舰),1,G900h/u/t/v/p/n/S5,20,20,20,20,20,20,20,
G系列(S旗舰),2,G906/S5顶配,20,20,20,20,20,20,20,
G系列(S旗舰),3,G900F/S5,20,20,20,20,20,20,20,
G系列(S旗舰),4,G9298,70,60,70,50,50,45,45,
G系列(S旗舰),5,G9198,10,10,10,10,10,10,10,
G系列(S旗舰),6,G977n,450,240,350,150,150,150,60,
G系列,1,G8858/A9Star,130,70,130,35,35,35,35,
G系列,2,G8850/A9Star,130,70,130,35,35,35,35,
G系列,3,G8508s,300,100,300,80,70,70,70,
G系列,4,G7810,300,100,300,80,70,70,70,
G系列,5,G7509,10,10,10,10,10,10,10,
G系列,6,G7508,10,10,10,10,10,10,10,
G系列,1,G7200,10,10,10,10,10,10,10,
G系列,2,g781n,300,200,300,200,80,50,50,
G系列,3,G720,10,10,10,10,10,10,10,
G系列,4,G7109,10,10,10,10,10,10,10,【备注一】开机凹凸不算屏坏
G系列,5,G7108v,10,10,10,10,10,10,10,详见备注一
G系列,6,G7108,10,10,10,10,10,10,10,详见备注一
G系列,1,G7106,10,10,10,10,10,10,10,详见备注一
G系列,2,G6100,20,20,20,20,20,20,15,
G系列,3,G6000,10,10,10,10,10,10,10,
G系列,4,G611L,20,20,20,10,10,10,10,
G系列,5,G610F,25,25,25,10,10,10,10,
G系列,6,G600,25,25,25,10,10,10,10,
G系列,1,G5700,20,20,20,20,20,20,15,详见备注一
G系列,2,G5570,20,20,20,20,20,20,15,详见备注一
G系列,3,G5520,15,15,15,15,15,15,15,详见备注一
G系列,4,G5510,15,15,15,15,15,15,15,详见备注一
G系列,5,G5500,10,10,10,10,10,10,10,详见备注一
G系列,6,G5309,8,8,8,8,8,8,8,
G系列,1,G5308,10,10,10,10,10,8,8,
G系列,2,G5306W,10,10,10,10,10,10,8,
G系列,3,G532,10,10,10,10,10,10,10,
G系列,4,G5108/9/0,10,10,10,10,10,10,10,
G系列,5,G3588v,10,10,10,10,10,10,10,
G系列,6,G3609,10,10,10,10,10,10,10,
G系列,1,G3606/3608,10,10,10,10,10,10,10,
G系列,2,G3588,10,10,10,10,10,10,10,
G系列,3,G3519,10,10,10,10,10,10,10,
G系列,4,G3518,10,10,10,10,10,10,10,
G系列,5,G1650,20,20,20,20,20,20,20,
G系列,6,G1600,15,15,15,10,10,10,10,
C系列,1,C9008,55,55,55,55,55,55,55,
C系列,2,C9000,55,55,55,55,55,55,55,
C系列,3,C7018/C7Pro,55,55,55,55,55,55,55,
C系列,4,C7010/C7Pro,55,55,55,55,55,55,55,
C系列,5,C7100/c8,55,55,55,55,55,55,55,
C系列,6,C7000,55,55,55,55,55,55,55,
C系列,7,C5018/C5Pro,55,55,55,55,55,55,55,
C系列,8,C5010/c5Pro,55,55,55,55,55,55,55,
C系列,9,C5000,55,55,55,55,55,55,55,
A系列,1,A22,135,,100,20,20,20,/,
A系列,2,A31,135,,100,20,20,20,/,
A系列,3,A11,75,35,35,75,35,35,35,
A系列,4,A9200/A9s,150,150,100,80,20,20,40,
A系列,5,A9100/A9Pro,50,20,20,20,20,20,20,
A系列,6,A90/A9080,270,160,120,50,90,40,40,
A系列,1,A9000,25,25,25,25,25,25,25,
A系列,2,A8s/G8870,110,90,90,70,50,50,50,
A系列,3,A8050,220,180,130,80,80,50,50,
A系列,4,A8000,25,25,25,25,25,25,25,
A系列,5,A71/A7160,180,180,130,80,80,20,20,
A系列,6,A7108/A7,20,20,20,20,20,20,20,
A系列,1,A7100/A7,25,20,20,25,25,20,20,
A系列,2,A70s（A7070）,240,200,120,80,80,40,40,
A系列,3,A7009/A70,260,200,120,80,80,40,40,
A系列,4,A70/A7050,260,200,120,80,80,40,40,
A系列,5,A7000/A7,20,20,20,20,20,20,20,
A系列,6,A730N,100,100,100,40,40,40,40,
A系列,1,A730f,100,100,100,40,40,40,40,
A系列,2,A720S,150,150,30,30,60,40,40,
A系列,3,G6200/A60,110,110,110,110,110,110,110,
A系列,4,A60/A6060,110,110,75,75,75,75,75,
A系列,5,A6058/A9Star lite,150,150,90,75,75,75,75,
A系列,6,A6050/A9Star lite,140,140,90,75,75,75,75,
A系列,1,A50s/A5070,220,180,80,80,80,40,40,
A系列,2,A530N,85,80,100,40,55,25,25,
A系列,3,三星 A5360,200,/,/,100,75,/,/,
A系列,4,A5260,280,260,140,140,60,60,/,
A系列,5,E5260,200,180,100,100,80,60,60,
A系列,6,A526,360,300,180,160,120,60,60,
A系列,1,A520,60,60,60,20,30,30,30,
A系列,2,A54,300,300,300,250,50,50,50,
A系列,3,A51/A5160,150,150,90,90,90,20,20,
A系列,4,A5108/A5,20,20,20,20,20,20,20,
A系列,5,A5100/A5,35,20,20,20,20,20,70,
A系列,6,A5009/A5,20,20,20,20,20,20,20,
A系列,1,A5000/A5,20,20,20,20,20,20,20,
A系列,2,A40s/A3050,140,140,120,40,40,40,40,
A系列,3,A3009/A3,15,15,15,15,15,15,15,
A系列,4,A3000/A3,15,15,15,15,15,15,15,
A系列,5,a31/a315f,150,150,60,60,60,20,20,
A系列,6,M3070,140,140,100,140,70,40,40,
A系列,1,A32,150,150,100,40,40,40,40,
A系列,2,A305N,80,80,60,60,35,35,35,
A系列,3,三星 A02s,60,60,60,60,60,60,60,
A系列,4,A20s/A2070,60,60,60,60,30,30,30,
A系列,5,A20,130,40,40,40,25,25,25,
其他系列,1,三星GALAXY S8 Active,80,25,25,80,80,25,25,
其他系列,2,8530,10,10,10,10,10,10,10,
其他系列,3,S7562,10,10,10,10,10,10,10,
其他系列,4,P729,10,10,10,10,10,10,10,
其他系列,5,P709,10,10,10,10,10,10,10,
其他系列,6,7系列3系,17,17,17,17,17,17,17,
其他系列,7,E7000,10,10,10,10,10,10,10,
其他系列,8,9/E210/R530/S3,20,20,20,20,20,20,20,
其他系列,9,sc-02,17,17,17,17,17,17,17,
