序号,机型与配置,开机靓机好,开机好碎,开机碎屏,开机压屏机,不开机,废板·断板,统货,备注
5,红米K30 Pro 5G变焦版 (12+512),270,270,270,270,270,270,/
6,红米K30 Pro 5G变焦版 (8+128),160,160,160,160,160,160,三星屏 主板芯片无破损
1,红米K30 Pro 5G变焦版 (8+256),205,205,205,205,205,205,/
2,红米K30 Pro (6+128),90,90,90,90,90,90,三星屏 主板芯片无破损
3,红米K30 Pro (8+128),160,160,160,160,160,160,/
4,红米K30 Pro (8+256),205,205,205,205,205,205,/
5,红米K30 Pro (12+128),170,170,170,170,170,170,/
6,红米K30S (8+128),160,160,160,160,160,160,三星屏 主板照开机功能正常
1,红米K30S (8+256),205,205,205,205,205,205,/
2,红米K30 5G,150,150,150,150,150,150,主板功能正常
3,红米K30 4G,150,150,150,150,150,150,主板功能正常
4,红米K20Pro,90,90,90,90,90,90,三星屏 芯片无破损 内存比例正常
5,红米K20,140,140,140,140,140,140,三星屏 芯片无破损 内存比例正常
1,红米note15R,170,170,150,150,150,150,/
2,红米note15 Pro+,600,350,400,250,180,180,三星屏主板靓功能正常
3,红米Note15 R pro 5G,250,200,200,200,165,165,开机功能正常靓主板靓
4,红米note15 pro,500,350,350,200,120,120,三星屏主板靓功能正常
5,红米note15,300,250,250,200,120,120,三星屏主板靓功能正常
6,红米Note14 pro+,800,350,550,250,120,120,三星屏主板靓像头靓开机功能正常
1,红米Note14 pro,450,300,400,300,120,120,三星屏 主板靓镜头靓开机功能正常
2,红米Note14,250,200,200,200,165,165,三星屏 大老化算异屏 主板靓芯片无破损
3,红米Note13 pro+,450,300,350,250,180,180,三星屏 主板靓像头靓开机功能正常
4,红米Note13 pro,350,300,300,300,180,180,三星屏 大老化算异屏 主板靓芯片无破损
5,红米note13c 5G,150,150,150,150,150,150,主板功能正常
6,红米note13 R,180,180,180,180,180,180,主板靓功能正常
1,红米Note13,350,350,300,300,150,150,三星屏 屏幕老化算异屏 开机主板功能正常 芯片无破损
2,红米Note12 Turbo (16+1TB),475,475,475,475,475,475,/
3,红米Note12 Turbo (8+128),250,160,250,160,160,160,开机主板靓功能正常 统货要求主板比例正常
4,红米Note12 Turbo (8+256),250,205,250,205,205,205,开机主板靓功能正常 统货要求主板比例正常
5,红米Note12 Turbo (12+256),250,215,250,215,215,215,开机主板靓功能正常 统货要求主板比例正常
6,红米Note12 Turbo (16+256),350,350,350,350,350,350,开机主板靓功能正常 统货要求主板比例正常
1,红米Note12 Tpro (12+512),270,270,270,270,270,270,/
2,红米Note12 Tpro (8+128),170,170,170,170,170,170,芯片无破损 内存比例正常
3,红米Note12 Tpro (8+256),170,170,170,170,170,170,芯片无破损 内存比例正常
4,红米Note12 Tpro (12+256),170,170,170,170,170,170,芯片无破损 内存比例正常
5,红米Note12 Tpro (12+512),170,170,170,170,170,170,芯片无破损 内存比例正常
6,红米12 Note12 R,160,160,160,160,160,160,主板靓开机功能正常 芯片无破损
1,红米Note12 pro极速版,200,200,200,200,200,200,三星屏 主板芯片无破损
2,红米Note12 5G,200,200,180,180,180,180,三星屏 芯片无破损 内存比例正常
3,红米Note12 pro,200,200,200,200,200,200,开机主板靓功能正常 统货要求主板比例正常
4,红米Note11 pro,200,200,180,180,180,180,三星屏 主板功能正常
5,红米Note11 se,180,180,180,180,180,180,主板功能正常
6,红米Note11 R,180,180,180,180,180,180,主板功能正常 芯片无破损
1,红米Note11E Pro,130,130,130,130,130,130,三星屏 主板功能正常 芯片无破损
2,红米Note11E,180,180,180,180,180,180,主板功能正常 芯片无破损
3,红米Note11T pro (6+128),170,170,170,170,170,170,芯片无破损 内存比例正常
4,红米Note11T pro (8+128),170,170,170,170,170,170,芯片无破损 内存比例正常
5,红米Note11T pro (8+256),170,170,170,170,170,170,芯片无破损 内存比例正常
6,红米Note11T pro (12+256),170,170,170,170,170,170,芯片无破损 内存比例正常
1,红米Note11T pro (8+512),170,170,170,170,170,170,芯片无破损 内存比例正常
2,红米Note11 5G,180,180,180,180,180,180,主板功能正常
3,红米Note11 4G,180,180,180,180,180,180,主板功能正常 芯片无破损
4,红米Note10 Pro 5G,140,140,140,140,140,140,主板功能正常
5,红米Note10 5G,180,180,180,180,180,180,主板功能正常 芯片无破损
6,红米Note9pro 5G,175,175,175,175,175,175,主板功能正常
1,红米Note9 5G,175,175,175,175,175,175,芯片无破损
2,红米Note9 4G,165,165,165,165,165,165,主板功能正常 芯片无破损
3,红米Note8 Pro,155,155,155,155,155,155,主板功能正常
4,红米Note8/64G,150,150,150,150,150,150,主板功能正常
5,红米Note7pro,130,130,130,130,130,130,主板功能正常
6,红米Note7,130,130,130,130,130,130,主板功能正常
1,红米Note5a有指纹,50,50,50,50,50,50,/
2,红米Note5a无指纹,30,30,30,30,30,30,/
3,红米Note5,120,120,120,120,120,120,/
4,红米Note4x黑板,60,60,60,60,60,60,/
5,红米Note4x绿板,65,65,65,65,65,65,/
6,红米Note4,60,60,60,60,60,60,/
1,红米Turbo5 (12+256),450,250,400,250,215,215,/
2,红米Turbo5 (16+256),550,350,500,350,350,350,/
3,红米Turbo5 (12+512),500,300,450,300,270,270,/
4,红米Turbo5 (16+512),550,400,500,400,400,400,/
5,红米Turbo4 (12+256),400,250,350,250,215,215,三星屏 主板靓功能正常
6,红米Turbo4 (16+256),450,350,400,350,350,350,/
1,红米Turbo4 (12+512),400,265,350,265,265,265,/
2,红米Turbo4 (16+512),450,400,400,400,400,400,/
3,红米Note3,35,35,35,35,35,35,/
4,红米Turbo3 (8+256),300,205,250,205,205,205,/
5,红米Turbo3 (12+256),300,215,250,215,215,215,/
6,红米Turbo3 (12+512),300,270,270,270,270,270,/
1,红米Turbo3 (16+512),400,400,400,400,400,400,/
2,红米Turbo3 (16+1TB),500,475,475,475,475,475,/
3,红米Note2,20,20,20,20,20,20,/
4,红米Note1双卡,20,20,20,20,20,20,/
5,红米Note1单卡,20,20,20,20,20,20,/
6,红米Note1黑板,20,20,20,20,20,20,/
1,红米R70,175,175,175,175,175,175,要求芯片无破损比例正常
2,红米15R,170,170,150,150,150,150,主板靓开机功能正常
3,红米14c,170,170,170,170,170,170,主板靓开机功能正常
4,红米13R,170,170,150,150,150,150,/
5,红米13c 4G,170,170,150,150,150,150,主板靓开机功能正常
6,红米12R,150,150,150,150,150,150,/
1,红米12c,160,160,160,160,160,160,/
2,红米10XPro 5G,160,160,160,160,160,160,三星屏
3,红米10X 5G,160,160,160,160,160,160,三星屏
4,红米10X 4G,180,180,180,180,180,180,主板功能正常 定屏重启算不开机
5,红米10a,150,150,150,150,150,150,32G的90
6,红米9a,150,150,150,150,150,150,32G的90元
1,红米9,170,170,170,170,170,170,主板功能正常
2,红米8a,110,110,110,110,110,110,/
3,红米8,110,110,110,110,110,110,/
4,红米7a,58,58,58,58,58,58,/
5,红米7,95,95,95,95,95,95,/
6,红米6Pro,80,80,80,80,80,80,/
1,红米6a,45,45,45,45,45,45,/
2,红米6,50,50,50,50,50,50,/
